Angles  ,,,,,,,
Control T=0,Control T=4 ,Control T=8,Control T=12 ,ES T=0,ES T=4,ES T=8,ES T=12
180,60.255,153.43,-116.565,108.435,71.565,-84.289,-11.31
119.745,-138.366,150.26,-14.036,-90,75.069,100.008,-48.013
111.801,-8.13,-62.24,-161.565,29.745,37.569,-85.601,-45
-85.601,-90,-53.13,-81.87,93.013,48.814,-150.945,-36.87
50.711,75.069,53.13,90,-95.194,-83.66,53.13,-90
-100.62,-101.31,-17.35,0,109.983,-36.87,-85.236,-99.462
-90,-77.005,-87.14,128.66,86.82,109.654,-161.565,-11.31
24.228,90,-74.05,48.366,-99.462,109.654,32.005,-64.654
-135,-146.31,57.53,-127.875,105.255,116.565,105.945,-29.055
90,-114.775,-147.09,-93.576,95.194,-33.69,-74.745,3.366
63.435,-85.914,-90,143.13,-60.255,-54.462,95.711,30.964
-138.814,-85.601,-24.44,0,-90,45,140.194,70.201
-90,-124.992,115.02,96.34,33.69,58.57,50.711,-143.13
-96.71,-60.945,25.02,63.435,0,162.897,-158.749,113.962
97.125,171.87,-86.63,-135,-108.435,66.371,-124.509,135
-90,0,-80.54,98.746,57.995,-4.086,180,5.194
71.565,-45,84.56,-135,-74.055,-97.595,-64.983,111.038
81.87,41.634,123.69,-26.565,-18.435,61.557,-30.964,43.452
170.538,-147.529,-90,96.34,-36.87,-3.814,-49.399,61.189
45,50.194,-128.66,165.964,-100.305,-66.801,-117.759,-28.61
-97.125,-149.744,71.57,-153.435,81.254,180,174.289,5.711
-28.072,-160.346,0,-90,-108.435,-128.66,63.435,-85.601
-136.848,0,-93.01,-94.399,-124.992,137.726,0,180
-139.185,-108.435,140.19,102.529,36.87,23.199,14.931,-41.186
147.995,45,-135,-77.471,0,-37.569,51.34,-81.87
180,-90,-84.81,-149.534,167.471,131.634,-90,-45
-153.435,-104.036,-47.49,-101.31,-80.538,-108.435,180,-105.255
-99.462,174.289,-167.01,129.806,38.66,135,180,-78.69
-49.399,41.186,-68.2,3.013,40.914,-94.399,-90,-146.31
28.301,108.435,-137.29,-90,94.764,30.964,0,165.964
59.349,69.444,-90,-92.862,-75.069,-11.31,45,168.69
98.13,-139.399,50.19,-104.036,143.973,-111.801,-80.538,-90
71.565,-71.565,81.87,85.914,-86.82,57.265,-90,-59.036
-161.565,-90,75.07,90,102.529,12.995,69.444,-84.289
171.254,165.964,-122.47,-90,98.13,-60.642,-98.973,-3.366
-85.236,-156.801,45,-33.69,-104.036,-122.005,-90,-63.435
-100.305,63.435,-127.3,-90,-120.256,23.199,180,-100.008
162.897,0,123.69,180,14.036,71.565,146.31,78.69
-41.186,90,-33.69,-106.39,60.945,-106.39,71.565,-59.744
172.405,-32.005,75.96,33.69,37.569,36.87,-90,86.987
4.764,171.87,123.69,-141.34,0,23.199,86.82,-12.995
0,180,157.38,90,-100.305,23.199,172.405,-85.601
6.34,175.236,-80.54,153.435,11.31,8.13,94.764,41.186
61.699,74.358,-122.28,-83.66,0,45,15.945,66.038
-98.13,-56.31,161.57,66.038,-120.256,129.806,-145.008,90
-90,99.462,60.95,132.274,51.843,-85.236,-108.435,-15.945
-34.992,-90,70.56,61.39,-71.565,-85.601,-128.66,-96.34
90,-90,170.54,55.008,56.31,116.565,0,-84.289
68.199,63.435,-173.29,-122.276,-83.29,0,92.603,90
52.431,26.565,80.84,176.186,63.435,-130.914,125.538,-54.462
135,26.565,-139.4,26.565,7.125,-57.529,-66.801,-74.055
-176.634,-90,-158.96,-90,-26.565,1.909,59.744,30.579
45,-83.29,0,36.87,-116.565,15.255,113.199,90
95.711,-129.806,36.87,144.462,-140.194,-7.125,29.055,145.008
-173.66,80.538,-14.04,-90,-116.565,-90,107.103,0
-41.987,140.194,49.76,-119.358,-6.71,151.189,80.538,-85.914
-55.008,-138.013,7.13,-95.711,50.194,-90,-68.199,116.565
-141.34,-90,-77.47,-71.565,-123.69,0,-90,51.34
147.529,-94.764,80.54,45,54.462,-77.735,47.49,70.017
-167.005,85.914,-92.39,-142.431,-63.435,-100.62,129.806,-36.87
-11.31,180,132.51,55.305,90,43.025,71.565,-141.34
-29.745,-38.047,135,101.31,153.435,-90,84.289,102.529
57.265,-112.38,-97.43,99.462,147.265,-21.801,-132.274,-5.711
-52.431,-171.87,132.71,180,18.435,-11.31,14.036,28.072
-164.745,-158.199,115.56,-158.962,68.199,38.66,90,-170.538
0,-138.814,19.29,-108.435,66.038,-56.31,-108.435,15.945
126.87,-90,-90,-90,-158.199,122.005,-90,-135
21.801,-110.556,90,-111.801,69.444,-75.964,-153.435,-130.236
45,-4.764,-71.57,113.199,-85.601,-33.69,-138.366,-140.711
0,130.236,0,-80.538,-156.801,165.964,-30.964,124.992
-140.194,13.241,90,-137.291,-15.945,165.964,0,-45
-36.87,-172.875,180,-96.34,-148.241,90,-69.775,102.529
180,104.036,84.81,5.711,-70.017,108.435,4.764,-26.565
,168.69,99.46,-129.289,27.897,-90,-110.854,-156.801
,-137.49,101.31,0,-129.289,-90,180,-45
,-174.806,90,176.424,165.964,56.31,-33.69,49.399
,-90,123.69,114.444,31.759,-26.565,18.435,60.255
,-5.194,-128.66,-30.256,-132.51,9.462,106.699,55.305
,49.185,-36.254,9.462,97.595,-90,119.055,60.255
,30.964,19.654,-120.256,35.838,74.055,83.66,-28.072
,-96.34,-160.56,32.735,75.964,90,-21.801,-5.194
,-54.462,-109.44,165.964,66.801,-90,-93.814,48.814
,-126.87,33.69,-78.69,9.462,-159.444,-71.565,-77.905
,135,-32.735,-14.036,-24.444,15.945,130.601,-80.538
,-116.565,-45,-71.565,163.301,14.036,4.399,36.254
,144.462,-90,36.87,29.745,-5.711,-49.086,120.964
,-90,84.806,125.838,18.435,66.801,45,60.255
,90,147.724,104.036,23.962,20.556,0,90
,-45,49.764,0,-90,-97.125,-90,90
,135,93.814,131.186,-81.254,19.654,102.995,123.69
,90,129.806,0,79.38,104.036,5.194,52.125
,-84.806,98.746,-80.538,-108.435,-90,-93.18,-90
,-83.66,-132.51,26.565,28.61,-82.875,-45,-107.103
,-53.13,-90,45,56.31,-3.814,-125.538,-132.709
,,-71.565,-90,90,41.987,135,104.036
,,129.094,172.875,6.34,23.199,-18.435,-135
,,82.405,33.69,48.366,-11.31,63.435,-29.055
,,26.565,90,129.094,-63.435,143.13,-101.31
,,90,-122.005,-63.435,120.964,27.646,116.565
,,-132.879,-45,-90,173.66,138.366,-61.39
,,36.87,79.216,19.983,-60.945,-77.005,-90
,,60.255,-90,-11.31,85.914,176.186,-8.13
,,95.711,-172.875,-10.305,68.962,-108.435,-100.008
,,129.289,90,-58.392,-36.87,-16.699,-84.806
,,29.745,-34.992,-90,-36.87,-131.987,-131.987
,,-139.399,-168.69,0,105.945,-23.962,-135
,,108.435,-146.31,37.875,7.125,174.289,-21.801
,,130.601,-40.601,-90,54.462,-105.945,180
,,143.13,-156.038,-143.13,-168.69,32.005,75.964
,,119.745,-56.31,38.66,153.435,-135,-90
,,-82.875,-85.601,-165.964,153.435,30.964,53.973
,,53.13,-153.435,82.405,-98.746,-83.66,90
,,59.036,-79.695,-65.225,-71.565,129.806,107.103
,,71.565,-30.256,141.34,-14.036,-41.186,-29.745
,,-5.194,-14.036,0,19.799,36.87,-144.462
,,158.199,-126.027,-45,170.91,-19.983,-85.601
,,72.897,-101.889,26.565,-90,46.975,-74.745
